"Unnamed: 0","Магазин","Номер заказа","Дата поступления","Статус","Оценка","Текст отзыва","Текст_класс_1","Текст_класс_2","Другое","is_p"
0,store_00,"42811R65031404","2011-06-19 00:00:56",Не проверен,5,,,,,
1,store_01,"143171885R0421","2011-06-19 00:05:42",Не проверен,5,,,,,
2,store_02,"50488R51918131","2011-06-19 00:08:19",Не проверен,5,,,,,
3,store_03,"4R556131941173","2011-06-19 00:13:57",Не проверен,3,долго заказ ждал... хотя доставку оплату повысили качество так себе,,,,
4,store_04,"1117R271442037","2011-06-19 00:27:02",Не проверен,3,,,,Без описания,
5,store_05,"3R111814004475","2011-06-19 00:30:14",Не проверен,1,"Персики дубовые , зуб можно сломать !!!!",,,,
6,store_06,"91421174R35122","2011-06-19 00:31:25",Не проверен,5,,,,,
7,store_06,"711R4433421951","2011-06-19 00:31:52",Не проверен,5,,,,,
8,store_07,"781129116R1448","2011-06-19 00:48:18",Не проверен,5,,,,,
9,store_08,"035004185R1135","2011-06-19 00:50:05",Не проверен,1,"Здравствуйте! Ужасно! Я заказывала огурцы, огурцов в доставке не оказалось!! Чеков нет !! Доставку задержали, ужасно недовольна вашим сервисом",,,,
10,store_09,"516365424122R1","2011-06-19 00:56:22",Не проверен,2,Мясо купили с одним жиром,,,,
11,store_010,"1493R541901414","2011-06-19 00:59:14",Не проверен,5,,,,,
12,store_011,"411R8214404085","2011-06-19 01:04:44",Не проверен,2,Очень плохой арбуз прислали. Тухлый,,,Очень плохой арбуз прислали. Тухлый,
13,store_012,"14915R44130219","2011-06-19 01:21:53",Не проверен,5,,,,,
14,store_013,"4R564110131631","2011-06-19 01:31:14",Не проверен,2,"Мороженное все помятое как будто его пинали, с нелетом инея. Списали баллы при оплате, но сумма не уменьшилась.",,,"Мороженное все помятое как будто его пинали, с нелетом инея. Списали баллы при оплате, но сумма не уменьшилась.",
16,store_015,"841153522R3144","2011-06-19 02:54:53",Не проверен,4,В чеке сыр Сливочный. По факту положили сыр Финский той же фирмы. Только вот Финский дешевле на 29.1р. Прошу вернуть разницу,,,,
17,store_016,"4424116R702791","2011-06-19 03:29:26",Не проверен,2,Цены в чеке неадекватные. Творог по 1 рублю?? Из за таких странностей мне начислен некорректно кэшбэк за любимый продукт.,,,,
18,store_017,"1R140032751474","2011-06-19 04:27:40",Не проверен,1,"Быстро собрали, да, прикольно. Но даже не удосужились поискать пиво, хотя в наличии его много. 
Курьер просто солнышко, про него ничего плохого не скажу, побольше таких бы.",,,"Быстро собрали, да, прикольно. Но даже не удосужились поискать пиво, хотя в наличии его много. 
Курьер просто солнышко, про него ничего плохого не скажу, побольше таких бы.",
19,store_018,"27741191345R60","2011-06-19 05:57:32",Не проверен,5,,,,,
20,store_019,"81141464R11692","2011-06-19 06:21:19",Не проверен,5,,,,,
21,store_020,R4319121374381,"2011-06-19 06:34:38",Не проверен,5,,,,,
22,store_021,"94743511R15133","2011-06-19 06:37:13",Не проверен,5,"5/5
Всё понравилось! Всё свежее!
Курьер вежливый!
Всем хорошего дня!!!",,,,
23,store_022,"14R74114332619","2011-06-19 06:37:14",Не проверен,5,,,,,
24,store_023,"8583196801313R","2011-06-19 06:38:36",Не проверен,1,"Покупала на сумму 3400₽, пельмени не привезли,деньги за них до сих пор не вернули .",,,,
25,store_024,"211R1283033412","2011-06-19 07:01:28",Не проверен,5,,,,,
26,store_025,"7113306R481910","2011-06-19 07:06:39",Не проверен,5,,,,,
27,store_026,R3610314619366,"2011-06-19 07:09:36",Не проверен,3,"Доставили быстро, но упаковки были сильно помяты! Быстрая доставка не стоит испорченной упаковки и мятого хлеба. Неприятная ситуация, первый раз сталкиваюсь",,,,
28,store_027,"21141132887R11","2011-06-19 07:11:22",Не проверен,5,,,,,
29,store_028,R4411441145531,"2011-06-19 07:15:44",Не проверен,1,Просроченый товар,,,,
30,store_029,R0144852106551,"2011-06-19 07:26:50",Не проверен,5,,,,,
31,store_030,"1R772311447844","2011-06-19 07:34:47",Не проверен,2,"я заказывала увелку 5 мин  кашу, а мне принесли доброе утро 3 мин.",,,,
32,store_031,"1533241879701R","2011-06-19 07:37:09",Проверен,1,"Товаров не хватает, оставила жалобу, прошу вернуть деньги или довезти недостающий  товар.",,,,
33,store_032,"743113R7121412","2011-06-19 07:42:13",Не проверен,5,,,,,
34,store_033,"21R31850815044","2011-06-19 07:50:08",Не проверен,5,"Быстро, четко, спасибо",,,,
35,store_04,"5717R461441450","2011-06-19 08:04:54",Не проверен,5,,,,,
36,store_034,"17481R53311410","2011-06-19 08:05:33",Не проверен,5,,,,,
37,store_035,"461R5433361101","2011-06-19 08:13:03",Не проверен,2,Привезли гнилые авокадо,,,,
38,store_036,"1R422971371141","2011-06-19 08:19:21",Не проверен,4,"Круассан не соответствует картинке. Лепешка узбекская несвежая и не узбекская. Возможно, это армянский матнакаш. Заказывали эти продукты  и раньше, было отличное качнство.",,,,
39,store_037,"49434877112R11","2011-06-19 08:19:32",Не проверен,1,"Сгущенку не положиши, она была оплачена",,,,
40,store_038,"411341R1470271","2011-06-19 08:21:47",Не проверен,1,"Амельсины не привезли, двня не спелая, зеленая",,,,
41,store_039,"410211480R4291","2011-06-19 08:22:40",Не проверен,4,"Все хорошо, но шампунь привезли не тот((",,,,
42,store_040,"224R3171412418","2011-06-19 08:23:24",Не проверен,5,,,,,
43,store_01,"31R87614451248","2011-06-19 08:23:48",Не проверен,5,,,,,
44,store_041,"14362623R40211","2011-06-19 08:32:02",Не проверен,5,"Впервые заказываю, доволен!",,,,
45,store_042,"317R7121164249","2011-06-19 08:32:26",Не проверен,5,,,,,
46,store_04,"1R101151634603","2011-06-19 08:36:15",Не проверен,5,"Эскалоп был не свежий и заветренный. Икра кабачковая 2020 года производства. Конечно у нее срок годности 2 года, но уже половина прошло.
Отдельно спасибо курьеру Олесе Кузнецовой за быстроту и вежливость.",,,,
47,store_043,R2481631247891,"2011-06-19 08:36:28",Не проверен,5,,,,,
48,store_044,"4R211544437551","2011-06-19 08:42:35",Не проверен,4,"Все норм, кроме того что положили не те ватные диски",,,,
49,store_043,"24411R71416996","2011-06-19 08:46:16",Не проверен,5,,,,,
50,store_045,"121256134R9464","2011-06-19 08:46:52",Не проверен,5,Спасибо!,,,,
51,store_046,"21134R10444483","2011-06-19 08:48:30",Не проверен,2,"морковь мелкая, капуста гнилая насквозь, пришлось выбросить. вряд ли закажу еще.",,,"морковь мелкая, капуста гнилая насквозь, пришлось выбросить. вряд ли закажу еще.",
52,store_047,"234101501413R2","2011-06-19 08:52:03",Не проверен,5,,,,,
53,store_048,"41910561R97514","2011-06-19 08:55:06",Не проверен,5,,,,,
54,store_049,R4111784578426,"2011-06-19 08:58:47",Не проверен,5,"был обращение уже по этому поводу : продукты замороженные и охлажденные привозить в специальной сумке/пакете, условия хранения и транспортировки должны соблюдаться на всех этапах реализации продукта",,,,
55,store_037,"1R114706012744","2011-06-19 09:01:02",Не проверен,5,,,,,
56,store_050,"05171131R44790","2011-06-19 09:01:09",Не проверен,5,,,,,
57,store_051,"1R034801714141","2011-06-19 09:01:40",Не проверен,5,,,,,
58,store_052,"5R144611850179","2011-06-19 09:01:56",Не проверен,5,,,,,
59,store_053,"04718R73121904","2011-06-19 09:03:20",Не проверен,5,,,,,
60,store_054,"314810404R3179","2011-06-19 09:03:39",Не проверен,5,,,,,
61,store_055,"45R11094381417","2011-06-19 09:03:49",Не проверен,1,заказ ехал более 12 часов,заказ ехал более 12 часов,,,
62,store_056,"45201R78126415","2011-06-19 09:05:56",Не проверен,5,,,,,
63,store_057,"74790R11541841","2011-06-19 09:07:54",Не проверен,5,,,,,
64,store_058,"3791R081714414","2011-06-19 09:09:31",Не проверен,5,,,,,
65,store_058,"23R89018471184","2011-06-19 09:09:38",Не проверен,5,спасибо,,,,
66,store_022,"0R744114454131","2011-06-19 09:14:47",Не проверен,5,,,,,
67,store_043,"1344R859311871","2011-06-19 09:18:35",Не проверен,3,,,,Без описания,
68,store_059,"341R1492831076","2011-06-19 09:20:33",Не проверен,5,,,,,
69,store_060,"1421411660R631","2011-06-19 09:21:01",Не проверен,1,Положили не тот творог,,,Положили не тот творог,
70,store_08,"1R401822196352","2011-06-19 09:22:08",Не проверен,3,путают товар,,,,
71,store_038,"940211313437R1","2011-06-19 09:23:19",Не проверен,5,,,,,
72,store_061,"5414426913R931","2011-06-19 09:24:54",Не проверен,5,,,,,
73,store_062,"2010R341549325","2011-06-19 09:24:55",Не проверен,5,,,,,
74,store_063,"81712454R21174","2011-06-19 09:27:12",Не проверен,4,,,,,
75,store_064,"41R72062420511","2011-06-19 09:27:20",Не проверен,5,,,,,
76,store_036,R1314119727148,"2011-06-19 09:28:17",Не проверен,5,,,,,
77,store_065,"794218175404R1","2011-06-19 09:28:47",Не проверен,5,,,,,
78,store_066,"4414R601813005","2011-06-19 09:30:54",Не проверен,5,,,,,
79,store_067,"1813334300177R","2011-06-19 09:33:07",Не проверен,1,"Заказ был сделан в 11 часов, привезен в 13.30! Причем разыскивать его и дважды звонить пришлось мне самой.","Заказ был сделан в 11 часов, привезен в 13.30! Причем разыскивать его и дважды звонить пришлось мне самой.",,,
80,store_068,"13117436199R24","2011-06-19 09:33:17",Не проверен,2,"Ребята, нафига вы опять делаете замены? У меня же выбран пункт "" не заменять"". Заказала прочные пакеты, вы вместо них кладете другие. Эти ваши пакеты тонкие и расходятся по швам.",,,"Ребята, нафига вы опять делаете замены? У меня же выбран пункт "" не заменять"". Заказала прочные пакеты, вы вместо них кладете другие. Эти ваши пакеты тонкие и расходятся по швам.",
81,store_069,"94103140R87170","2011-06-19 09:39:07",Не проверен,2,"Заказывала 0,473, а привезли 0,355",,,"Заказывала 0,473, а привезли 0,355",
82,store_070,"03R19844142311","2011-06-19 09:43:09",Не проверен,1,"То торт положили уценённый, который живёт до завтра и всё; то сыр положили 242гр из 400гр., зафасованный вчера вообще и выглядит будто его в тепле держали, задрипанный такой кусочек; мороженое всегда кладут ко всем остальным товарам, в результате приезжает растаявшее. Сама работаю в ПБ и никогда бы не позволила своему магазину так делать. Позорище.",,,"То торт положили уценённый, который живёт до завтра и всё; то сыр положили 242гр из 400гр., зафасованный вчера вообще и выглядит будто его в тепле держали, задрипанный такой кусочек; мороженое всегда кладут ко всем остальным товарам, в результате приезжает растаявшее. Сама работаю в ПБ и никогда бы не позволила своему магазину так делать. Позорище.",
83,store_071,"49831512R84414","2011-06-19 09:44:59",Не проверен,5,,,,,
84,store_048,"05014388541R41","2011-06-19 09:45:35",Не проверен,5,,,,,
85,store_072,"435496134151R7","2011-06-19 09:45:53",Не проверен,5,,,,,
86,store_043,"4519R414414746","2011-06-19 09:46:54",Не проверен,4,,,,,
87,store_073,"111184419943R7","2011-06-19 09:47:19",Не проверен,5,Спасибо большое!,,,,
88,store_067,"313417415441R7","2011-06-19 09:47:37",Не проверен,5,,,,,
89,store_074,R3078414151941,"2011-06-19 09:47:39",Не проверен,5,,,,,
90,store_075,"4204R491821814","2011-06-19 09:48:29",Не проверен,5,,,,,
91,store_03,"14942481R46821","2011-06-19 09:48:29",Не проверен,5,,,,,
92,store_076,"8818478143R441","2011-06-19 09:48:43",Не проверен,5,,,,,
93,store_053,"1294R041127549","2011-06-19 09:49:05",Не проверен,5,,,,,
94,store_077,R1141699848140,"2011-06-19 09:49:18",Не проверен,5,"Спасибо за подарки и, красивые стаканы!
Все супер!",,,,
95,store_054,"451720410R1094","2011-06-19 09:50:00",Не проверен,5,,,,,
96,store_028,"78R61503111440","2011-06-19 09:50:01",Не проверен,5,,,,,
97,store_078,"175261300R8414","2011-06-19 09:50:32",Не проверен,5,,,,,
98,store_079,"70814444R75611","2011-06-19 09:50:46",Не проверен,5,,,,,
99,store_046,"041771R4415785","2011-06-19 09:50:57",Не проверен,5,,,,,
100,store_080,"320534802R1114","2011-06-19 09:52:03",Не проверен,3,"К сожалению, сильно уменьшили вес мяса и рыбы, не согласовывая изменения. На замену куриной грудки предложили только филе бедра или голень. В остальном - нормально. Курьер хороший и быстрый.",,,"К сожалению, сильно уменьшили вес мяса и рыбы, не согласовывая изменения. На замену куриной грудки предложили только филе бедра или голень. В остальном - нормально. Курьер хороший и быстрый.",
101,store_081,"4451R122281124","2011-06-19 09:52:21",Не проверен,5,,,,,
102,store_082,"218139484054R1","2011-06-19 09:54:08",Не проверен,5,,,,,
103,store_083,"81544449R15114","2011-06-19 09:54:54",Не проверен,5,Спасибо,,,,
104,store_084,"1R117852425481","2011-06-19 09:55:17",Не проверен,5,,,,,
105,store_085,"635111276331R4","2011-06-19 09:56:36",Не проверен,4,"Всё пришло, но курьер долго добирался до места доставки",,,,
106,store_086,"76R91454811517","2011-06-19 09:57:57",Не проверен,5,,,,,
107,store_087,"518744481R4120","2011-06-19 09:58:02",Не проверен,5,,,,,
108,store_088,R9883140715145,"2011-06-19 09:58:39",Не проверен,5,,,,,
109,store_089,"1044856411R481","2011-06-19 09:58:44",Не проверен,5,,,,,
110,store_051,"24004410R28111","2011-06-19 10:00:02",Не проверен,5,,,,,
111,store_090,"40741601451R84","2011-06-19 10:00:47",Не проверен,2,Не тот товар,,,Не тот товар,
112,store_091,"14204010517R18","2011-06-19 10:00:51",Не проверен,5,,,,,
113,store_092,"1448141R008111","2011-06-19 10:01:01",Не проверен,5,,,,,
114,store_093,"181411R8120148","2011-06-19 10:01:18",Не проверен,5,почему-то хлеб положили с жидким стиральным порошком. пахнет((,,,,
115,store_094,"1146817114R014","2011-06-19 10:01:41",Не проверен,5,,,,,
116,store_076,"19439714524R10","2011-06-19 10:03:25",Не проверен,5,,,,,
117,store_095,"821R1149330934","2011-06-19 10:03:32",Не проверен,5,,,,,
118,store_096,"0484034R481181","2011-06-19 10:03:40",Не проверен,5,"курьер заслуживает отдельной похвалы!
Выполнил свою работу на 101%",,,,
119,store_097,"453211R4061048","2011-06-19 10:03:56",Не проверен,1,"Не привезли часть заказа! Заказ состоял из 3 пакетов, 1 пакет просто не привезли. Деньги не вернули. Просто ужас а не обслуживание",,,,
120,store_098,"34211587140R14","2011-06-19 10:04:15",Не проверен,4,"Все отлично, только кефир привезли, у которого срок годности истекает послезавтра, изготовлен он 31.07.",,,,
121,store_099,"59101R14148704","2011-06-19 10:04:17",Не проверен,5,,,,,
122,store_037,"0111201R504434","2011-06-19 10:04:45",Не проверен,5,"Делала заказ для мамы. Быстро, арбуз супер!",,,,
123,store_0100,"5144181051455R","2011-06-19 10:05:55",Не проверен,5,,,,,
124,store_0101,"3168441R410813","2011-06-19 10:06:18",Не проверен,5,"Спасибо за очень быструю доставку,все аккуратно сложено.Буду заказывать еще!",,,,
125,store_034,"0921446111447R","2011-06-19 10:06:42",Не проверен,4,,,,,
126,store_0102,"249140R1071811","2011-06-19 10:07:19",Не проверен,5,,,,,
127,store_0103,"18R14200148375","2011-06-19 10:07:38",Не проверен,5,,,,,
128,store_0104,"38441631R08218","2011-06-19 10:08:23",Не проверен,5,,,,,
129,store_0105,"49814R68094711","2011-06-19 10:08:46",Не проверен,5,,,,,
130,store_0106,"5491801990R411","2011-06-19 10:09:15",Не проверен,5,,,,,
131,store_0107,"18192197R34421","2011-06-19 10:12:29",Не проверен,5,Отлично и очень быстро!,,,,
132,store_054,"4312R619114171","2011-06-19 10:13:16",Не проверен,5,,,,,
133,store_0108,R3914118811841,"2011-06-19 10:13:18",Не проверен,5,,,,,
134,store_0109,"123815143R4941","2011-06-19 10:13:23",Не проверен,5,,,,,
135,store_0110,"71138114R34122","2011-06-19 10:13:27",Не проверен,5,Спасибо,,,,
136,store_080,"1448314351R221","2011-06-19 10:13:52",Проверен,1,"Не довезли 5 позиций !!! В заказе они числятся , а привезти их не привезли .",,,"Не довезли 5 позиций !!! В заказе они числятся , а привезти их не привезли .",
137,store_0111,"1R199819144714","2011-06-19 10:14:17",Не проверен,5,,,,,
138,store_013,"485R4121241011","2011-06-19 10:14:25",Не проверен,5,,,,,
139,store_019,"44R11120845251","2011-06-19 10:15:02",Не проверен,5,"Большое спасибо курьеру, занес огромные тяжелые пакеты на 5 этаж и даже не устал!",,,,
140,store_0112,"194451R1155318","2011-06-19 10:15:15",Не проверен,5,,,,,
141,store_0113,"4R215191785154","2011-06-19 10:15:25",Не проверен,1,"добрый день, в заказе была позиция детская зубная щетка, доставили щетку для взрослого, приложение показывало что детские щетки есть, после доставки резко статус товара изменился на раскупили, очень плохая сборка позиций, даже не запросили замену по данному поводу.",,,"добрый день, в заказе была позиция детская зубная щетка, доставили щетку для взрослого, приложение показывало что детские щетки есть, после доставки резко статус товара изменился на раскупили, очень плохая сборка позиций, даже не запросили замену по данному поводу.",
142,store_0107,"21R05476181414","2011-06-19 10:15:40",Не проверен,5,,,,,
143,store_079,"6R621681114410","2011-06-19 10:16:10",Не проверен,1,"черный виноград испорченный, белый указывала в комментарии что обязательно без косточек должен быть, привезли с косточками. бананы указала чтобы не сильно спелые были, привезли уже с чернотой! было же указано что позвонить если что то не то с заказом.",,,"черный виноград испорченный, белый указывала в комментарии что обязательно без косточек должен быть, привезли с косточками. бананы указала чтобы не сильно спелые были, привезли уже с чернотой! было же указано что позвонить если что то не то с заказом.",
144,store_0114,"91141R34681121","2011-06-19 10:16:13",Не проверен,3,"Очень маленький арбуз. Заказывал на 10 кг, а привезли на 7,5.",,,,
145,store_0115,R4164113011209,"2011-06-19 10:16:20",Не проверен,5,спасибо,,,,
146,store_0116,"7414119751R143","2011-06-19 10:17:54",Не проверен,5,,,,,
147,store_0117,"22081414618R11","2011-06-19 10:18:02",Не проверен,5,,,,,
148,store_0118,"9411840111R468","2011-06-19 10:18:06",Не проверен,5,Все замечательно. Курьеру и магазину спасибо,,,,
149,store_0118,"2515581R134185","2011-06-19 10:18:45",Не проверен,5,Как всегда все великолепно,,,,
150,store_091,"861611100049R4","2011-06-19 10:19:00",Не проверен,5,Отличный курьер,,,,
151,store_0119,"9010482974R311","2011-06-19 10:20:39",Не проверен,5,,,,,
152,store_0120,"192R5101014043","2011-06-19 10:21:00",Не проверен,5,"все отлично, как всегда",,,,
153,store_077,"44810179R11267","2011-06-19 10:21:09",Не проверен,5,,,,,
154,store_040,"2194R215154111","2011-06-19 10:21:15",Не проверен,5,,,,,
155,store_0121,"13371R14821294","2011-06-19 10:21:38",Не проверен,5,,,,,
157,store_062,"32R08412117641","2011-06-19 10:23:12",Не проверен,5,,,,,
158,store_032,"334R9211352005","2011-06-19 10:23:50",Не проверен,4,,,,,
159,store_0122,"142601484154R1","2011-06-19 10:24:45",Не проверен,5,,,,,
160,store_0123,"594152421431R4","2011-06-19 10:25:43",Не проверен,5,Курьер все доставил быстро и помог занести.,,,,
161,store_0124,R2229644791141,"2011-06-19 10:26:47",Не проверен,5,,,,,
162,store_0125,"129853721R4214","2011-06-19 10:27:53",Не проверен,5,,,,,
163,store_0126,R1814128117384,"2011-06-19 10:28:18",Не проверен,5,,,,,
164,store_069,"834235R8410113","2011-06-19 10:28:53",Не проверен,5,,,,,
165,store_0127,"041R9421129815","2011-06-19 10:29:51",Не проверен,5,"Жаль что хлеб не свежий,🙄",,,,
166,store_0128,"493R4114048011","2011-06-19 10:30:04",Не проверен,5,,,,,
167,store_091,"1080R148321145","2011-06-19 10:30:15",Не проверен,5,,,,,
168,store_0129,R1147804463118,"2011-06-19 10:31:08",Не проверен,5,,,,,
169,store_0130,"118913R8140412","2011-06-19 10:31:19",Не проверен,5,,,,,
170,store_0131,"134789111R2134","2011-06-19 10:31:32",Не проверен,5,,,,,
171,store_0132,"134321134R1814","2011-06-19 10:31:43",Не проверен,5,,,,,
172,store_08,"34845241411R47","2011-06-19 10:34:24",Не проверен,3,"Желательно аккуратней упаковывать заказы, уже который раз привозят с чем то мятым или разбитым",,,"Желательно аккуратней упаковывать заказы, уже который раз привозят с чем то мятым или разбитым",
173,store_064,R4122141139264,"2011-06-19 10:34:26",Не проверен,5,,,,,
174,store_0133,"1434441131784R","2011-06-19 10:34:34",Не проверен,5,"спасибо большое всем, кто работал над моим заказом🙏 , хорошего всем дня и отличного настроения 👍💐",,,,
175,store_0134,R1433434193186,"2011-06-19 10:34:36",Не проверен,5,,,,,
176,store_0135,"638R4118152464","2011-06-19 10:34:56",Не проверен,5,,,,,
177,store_081,"21195R41348804","2011-06-19 10:35:02",Не проверен,5,,,,,
178,store_0136,"15404100R23191","2011-06-19 10:35:10",Не проверен,5,,,,,
179,store_0137,"455R1158624132","2011-06-19 10:35:56",Не проверен,5,,,,,
180,store_05,"154386146R8217","2011-06-19 10:36:27",Не проверен,5,,,,,
181,store_0138,"11441068R41513","2011-06-19 10:36:40",Не проверен,5,,,,,
182,store_0139,"835546574R1161","2011-06-19 10:36:57",Не проверен,5,,,,,
183,store_084,"1R857883411427","2011-06-19 10:37:28",Не проверен,5,"очень быстро доставили, все хорошо, курьер отличный.",,,,
184,store_091,"3411498412734R","2011-06-19 10:37:43",Не проверен,5,,,,,
185,store_0140,"4341R934281981","2011-06-19 10:38:49",Не проверен,5,,,,,
186,store_0141,"9348491116131R","2011-06-19 10:39:18",Не проверен,5,,,,,
187,store_054,"399581214119R4","2011-06-19 10:39:28",Не проверен,5,,,,,
188,store_0142,"1911145R054049","2011-06-19 10:40:10",Не проверен,5,,,,,
189,store_0143,R0144716178041,"2011-06-19 10:40:16",Не проверен,1,доставка СОВСЕМ НЕ ТОГО ЧТО В ЗАКАЗЕ . НИ ОДНОГО СОВПАДЕНИЯ,,,доставка СОВСЕМ НЕ ТОГО ЧТО В ЗАКАЗЕ . НИ ОДНОГО СОВПАДЕНИЯ,
190,store_0144,"1141948440718R","2011-06-19 10:40:19",Не проверен,5,спасибо всем,,,,
191,store_0145,"44R21104512842","2011-06-19 10:40:22",Не проверен,1,Просроченный товар - сиктана,,,Просроченный товар - сиктана,
192,store_059,"459411111242R9","2011-06-19 10:41:25",Не проверен,5,Очень быстро! Спасибо,,,,
193,store_097,"411R5421288417","2011-06-19 10:41:27",Не проверен,5,"Я в восторге! Огромное спасибо, все прекрасно♥️",,,,
194,store_0146,"1431R441913484","2011-06-19 10:41:33",Не проверен,5,,,,,
195,store_0147,"4114114391147R","2011-06-19 10:41:37",Не проверен,5,,,,,
196,store_037,"30140R91114442","2011-06-19 10:42:19",Не проверен,5,,,,,
197,store_021,"218R1411487344","2011-06-19 10:42:37",Не проверен,5,,,,,
198,store_0148,"4174322151R984","2011-06-19 10:42:39",Не проверен,4,"Я несколько раз написала в замечании что: пожалуйста, не туго связывайте пакеты!  но каждый раз завязываете узлы, как на картинке, которую я прикрепила:",,,,
199,store_0149,"134194R4743401","2011-06-19 10:44:03",Не проверен,5,все отлично. даже не ожидал от розничного магазина.,,,,
200,store_0150,"014R1521424194","2011-06-19 10:44:22",Не проверен,5,,,,,
201,store_0150,"792121409R4441","2011-06-19 10:44:29",Не проверен,2,"вместо молочного шоколада Аленка положили шоколад с молочной начинкой, он мне не подходит",,,"вместо молочного шоколада Аленка положили шоколад с молочной начинкой, он мне не подходит",
202,store_0151,"198R4046581451","2011-06-19 10:45:05",Не проверен,4,Протекло моющее средство,,,,
203,store_0152,"94131445014R21","2011-06-19 10:45:24",Не проверен,5,,,,,
204,store_0153,"1119R456613404","2011-06-19 10:46:16",Не проверен,5,,,,,
205,store_0154,"140241192R6415","2011-06-19 10:46:52",Не проверен,5,,,,,
206,store_046,"949441R6171215","2011-06-19 10:47:29",Не проверен,4,kinder pingui помялись под весом других товаров,,,,
207,store_0155,"641R4798634141","2011-06-19 10:47:36",Не проверен,5,"Все хорошо,курьер супер.Оценка 5 заказу.А самому приложению,поставила бы 1.Перестала видеть приблизительное время доставки,потом само время дрставки.Сидишь и  не знаешь,когда явится курьер.,тупо смотришь в приложение.Раньше было лучше,зная почти по минутам,когда привезут заказ,занимаясь своими делами.",,,,
208,store_0156,R1414811738410,"2011-06-19 10:48:11",Не проверен,5,,,,,
209,store_0157,"71718485R18441","2011-06-19 10:48:17",Не проверен,5,,,,,
210,store_0158,R3411914323814,"2011-06-19 10:48:31",Не проверен,5,,,,,
211,store_0159,"094484912116R0","2011-06-19 10:49:08",Не проверен,5,,,,,
212,store_0160,R1014361448941,"2011-06-19 10:49:46",Не проверен,5,,,,,
213,store_0161,"91614944551R43","2011-06-19 10:49:56",Не проверен,5,,,,,
214,store_0162,"151014R2273920","2011-06-19 10:50:22",Не проверен,2,"В целом, все товары были хорошего качества, заказ собрали быстро, забирал сам из магазина. И вот, недавно, наконец то решил сварить вареники с картофелем и грибами. Достал упаковку, а пакет с варениками был вскрыт, и половина пачки вареников отсутствовала. Это беспредел!!! Поэтому 2 звёзды.",,,"В целом, все товары были хорошего качества, заказ собрали быстро, забирал сам из магазина. И вот, недавно, наконец то решил сварить вареники с картофелем и грибами. Достал упаковку, а пакет с варениками был вскрыт, и половина пачки вареников отсутствовала. Это беспредел!!! Поэтому 2 звёзды.",
215,store_0163,"675201324491R1","2011-06-19 10:50:23",Не проверен,5,,,,,
216,store_030,"1149764R514110","2011-06-19 10:50:41",Не проверен,5,,,,,
217,store_0164,"304594131115R1","2011-06-19 10:51:03",Не проверен,4,Творогу почти месяц! Буду уточнять по поводу него,,,,
218,store_091,"141R5159417422","2011-06-19 10:51:22",Не проверен,5,,,,,
219,store_0165,"210484521R1134","2011-06-19 10:51:22",Не проверен,5,,,,,
220,store_0166,"2118754R418814","2011-06-19 10:51:28",Не проверен,4,,,,,
221,store_0167,"40551R02005111","2011-06-19 10:51:50",Не проверен,5,,,,,
222,store_0168,"111R4115246857","2011-06-19 10:51:57",Не проверен,5,,,,,
223,store_0169,R4142721159841,"2011-06-19 10:52:18",Не проверен,5,,,,,
224,store_097,"051244919R4815","2011-06-19 10:52:40",Не проверен,5,,,,,
225,store_0107,"7442115R254681","2011-06-19 10:52:56",Не проверен,5,,,,,
226,store_0170,"578528R1514164","2011-06-19 10:52:58",Не проверен,1,"отвратительно,к сожалею я больше не размещу у вас заказ, полностью растекшееся мороженое и второй раз уже не свежая, вонючая слабосоленая форель",,,,
227,store_0171,"344R0019194115","2011-06-19 10:53:00",Не проверен,5,,,,,
228,store_0172,"3406154951914R","2011-06-19 10:53:56",Не проверен,5,,,,,
229,store_0173,"11114244R92353","2011-06-19 10:54:21",Не проверен,5,,,,,
230,store_0174,"4R141070485143","2011-06-19 10:54:34",Не проверен,1,"В личном кабинете указан старый номер телефона, номер мужа. Об этом я, к сожалению, забыла. Курьер звонил на него во время, когда муж был на совещании, не мог ответить. Это моя невнимательность, здесь я понимаю.
 Когда я вышла встретить курьера, то сразу с ходу он предъявил грубым тоном: «Че у вас с телефоном? Че у вас с телефоном, говорю?» это было очень неприятно и непрофессионально.
 Плюс я заказывала два хлеба одной марки, но один хлеб положили другой марки совершенно. Некритично, но будьте внимательнее.",,,"В личном кабинете указан старый номер телефона, номер мужа. Об этом я, к сожалению, забыла. Курьер звонил на него во время, когда муж был на совещании, не мог ответить. Это моя невнимательность, здесь я понимаю.
 Когда я вышла встретить курьера, то сразу с ходу он предъявил грубым тоном: «Че у вас с телефоном? Че у вас с телефоном, говорю?» это было очень неприятно и непрофессионально.
 Плюс я заказывала два хлеба одной марки, но один хлеб положили другой марки совершенно. Некритично, но будьте внимательнее.",
231,store_0175,"14589132414R79","2011-06-19 10:54:38",Не проверен,5,,,,,
232,store_0176,"111349R4551734","2011-06-19 10:54:53",Не проверен,5,,,,,
233,store_096,"31R84090455119","2011-06-19 10:55:03",Не проверен,5,Вежливые курьеры,,,,
234,store_0177,"42681R54181715","2011-06-19 10:55:16",Не проверен,5,Но сырки глазированные помяли.,,,,
235,store_0178,"351481R8114599","2011-06-19 10:55:39",Не проверен,5,,,,,
236,store_010,"55432413194R15","2011-06-19 10:55:49",Не проверен,3,Привезли кефир. Просрочится 21 .,,,Привезли кефир. Просрочится 21 .,
